Property_ID,City,Locality,Locality_Tier,BHK,Carpet_Area_SqFt,Builtup_Area_SqFt,Possession_Status,RERA_Approved,Vastu_Compliance,Furnishing_Status,Metro_Proximity,Floor_Number,Total_Floors,Gated_Community,Power_Backup,Clubhouse,Reserved_Parking_Slots,Property_Age_Yrs,SalePrice_INR
1001,Bengaluru,Koramangala / Sadashivnagar,Upscale,2,800,1007,Ready to Move,1,Full Vastu,Semi-Furnished,Walkable (<500m),2,12,1,1,1,3,0,19800000.0
1002,Chennai,Nungambakkam / Anna Nagar,Upscale,3,1660,2203,Under Construction,1,Full Vastu,Semi-Furnished,Near (1-2 km),5,12,1,1,0,1,5,25610000.0
1003,Hyderabad,Miyapur / Kukatpally,Suburban,3,1617,2184,Ready to Move,0,Partial Vastu,Semi-Furnished,Near (1-2 km),1,4,1,1,1,1,2,10160000.0
1004,Delhi NCR,South Delhi (Vasant Vihar),Upscale,2,1086,1474,New Launch,1,Full Vastu,Semi-Furnished,Distant (>3 km),2,4,0,1,1,1,0,28180000.0
1005,Mumbai,Bandra West / BKC,Upscale,1,458,583,Ready to Move,1,Partial Vastu,Unfurnished,Near (1-2 km),4,4,0,1,0,1,8,18070000.0
1006,Mumbai,Andheri West / Powai,Mid-Tier,2,954,1304,New Launch,1,Full Vastu,Semi-Furnished,Near (1-2 km),4,4,1,1,1,1,5,28660000.0
1007,Mumbai,Andheri West / Powai,Mid-Tier,2,755,1008,Ready to Move,1,Full Vastu,Semi-Furnished,Walkable (<500m),6,12,0,1,0,1,12,22050000.0
1008,Pune,Baner / Viman Nagar,Mid-Tier,2,1049,1432,Ready to Move,0,Partial Vastu,Semi-Furnished,Walkable (<500m),16,22,1,1,0,0,12,9080000.0
1009,Delhi NCR,"Golf Course Road, Gurgaon",Prime / Ultra-Luxury,3,1670,2193,Ready to Move,1,Full Vastu,Fully Furnished,Walkable (<500m),5,12,0,1,0,1,8,67110000.0
1010,Hyderabad,HITEC City / Kondapur,Mid-Tier,1,558,737,Under Construction,1,Full Vastu,Fully Furnished,Distant (>3 km),6,12,1,0,1,1,0,6190000.0
1011,Mumbai,South Mumbai (Worli/Malabar Hill),Prime / Ultra-Luxury,1,520,712,Under Construction,1,Non-Vastu,Semi-Furnished,Near (1-2 km),4,12,1,1,1,1,5,33210000.0
1012,Kolkata,Ballygunge / Alipore,Prime / Ultra-Luxury,2,1009,1379,Ready to Move,1,Partial Vastu,Semi-Furnished,Near (1-2 km),6,7,1,1,1,0,8,21260000.0
1013,Pune,Wakad / Kharadi,Suburban,3,1923,2516,New Launch,1,Partial Vastu,Fully Furnished,Near (1-2 km),3,12,1,1,0,1,8,13600000.0
1014,Mumbai,Bandra West / BKC,Upscale,2,909,1169,Ready to Move,1,Full Vastu,Unfurnished,Near (1-2 km),1,7,1,1,0,2,2,47830000.0
1015,Mumbai,Andheri West / Powai,Mid-Tier,3,1582,2058,Under Construction,0,Full Vastu,Unfurnished,Walkable (<500m),5,22,1,1,1,0,5,41690000.0
1016,Mumbai,Andheri West / Powai,Mid-Tier,2,795,1034,Under Construction,1,Non-Vastu,Unfurnished,Walkable (<500m),6,7,0,1,1,1,5,16500000.0
1017,Bengaluru,Koramangala / Sadashivnagar,Upscale,3,1348,1735,Ready to Move,1,Full Vastu,Fully Furnished,Walkable (<500m),1,4,1,1,0,0,2,30180000.0
1018,Delhi NCR,Noida Sector 62,Suburban,3,1572,2020,Ready to Move,1,Partial Vastu,Semi-Furnished,Near (1-2 km),5,12,1,1,1,0,5,15670000.0
1019,Bengaluru,Indiranagar / Lavelle Road,Prime / Ultra-Luxury,2,1107,1508,New Launch,1,Full Vastu,Unfurnished,Walkable (<500m),28,35,1,1,1,1,0,35960000.0
1020,Bengaluru,HSR Layout / Whitefield,Mid-Tier,2,913,1150,New Launch,1,Full Vastu,Fully Furnished,Near (1-2 km),6,12,1,1,0,1,5,9690000.0
1021,Delhi NCR,Dwarka Expressway,Emerging,2,916,1226,New Launch,1,Non-Vastu,Semi-Furnished,Near (1-2 km),20,22,1,1,1,1,5,6600000.0
1022,Mumbai,Andheri West / Powai,Mid-Tier,2,892,1135,New Launch,1,Full Vastu,Fully Furnished,Near (1-2 km),12,12,1,1,1,2,0,30380000.0
1023,Bengaluru,Electronic City,Suburban,3,1425,1845,Ready to Move,1,Full Vastu,Unfurnished,Walkable (<500m),4,12,0,1,1,2,8,12760000.0
1024,Bengaluru,Indiranagar / Lavelle Road,Prime / Ultra-Luxury,3,1618,2035,Under Construction,1,Full Vastu,Semi-Furnished,Walkable (<500m),13,22,1,1,0,2,12,50680000.0
